City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,pangai,-19.8,-174.35,299.21,65,20,3.6,TO,1702323947
286,onega,63.9061,38.1404,260.35,93,100,3.62,RU,1702323947
287,peniche,39.3558,-9.3811,291.64,93,100,6.12,PT,1702323704
288,antofagasta,-23.65,-70.4,293.75,65,100,3.88,CL,1702323947
289,ponta delgada,37.7333,-25.6667,288.55,82,40,3.6,PT,1702323947
290,suva,-18.1416,178.4415,295.86,88,20,2.06,FJ,1702323947
291,bonthe,7.5264,-12.505,300.32,79,7,2.62,SL,1702323948
292,myshkin,57.7897,38.4545,264.87,94,100,6.08,RU,1702323948
293,rio san juan,19.6439,-70.0763,302.13,79,13,6.81,DO,1702323948
294,tura,25.5198,90.2201,288.34,87,0,1.56,IN,1702323706
295,cafayate,-26.073,-65.9761,301.58,42,3,5.29,AR,1702323948
296,dwarka,22.2394,68.9678,295.74,56,100,3.8,IN,1702323948
297,olyokminsk,60.3736,120.4264,245.5,95,100,2.14,RU,1702323721
298,mejit,10.2753,170.8646,300.39,68,14,8.72,MH,1702323949
299,arraial do cabo,-22.9661,-42.0278,297.13,88,100,5.66,BR,1702323949
300,saint-pierre,-21.3393,55.4781,297.97,73,0,6.69,RE,1702323727
301,marmaris,36.855,28.2742,287.65,77,88,1.02,TR,1702323949
302,pudozh,61.8099,36.5345,262.56,92,100,3.13,RU,1702323949
303,zorritos,-3.6805,-80.6782,302.31,73,26,4.34,PE,1702323951
304,jatai,-17.8814,-51.7144,298.81,71,100,3.87,BR,1702323951
305,gole,52.1665,20.4937,278.44,87,100,4.67,PL,1702323951
306,aldama,22.9167,-98.0667,293.98,44,100,3.6,MX,1702323951
307,sydney,-33.8679,151.2073,295.76,86,75,2.57,AU,1702323830
308,kalevala,65.2,31.1667,253.2,100,100,1.34,RU,1702323951
309,mahina,-17.5065,-149.489,302.02,65,20,2.06,PF,1702323952
310,black point,-34.6187,137.8972,292.0,82,100,6.46,AU,1702323952
311,mar del plata,-38.0023,-57.5575,302.5,79,0,14.31,AR,1702323712
312,kas,36.2018,29.6377,287.49,79,55,1.54,TR,1702323952
313,tadine,-21.55,167.8833,296.42,67,100,6.61,NC,1702323952
314,smiths station,32.5401,-85.0985,285.49,35,0,3.09,US,1702323892
315,winona,43.9666,-91.7668,271.17,69,100,2.57,US,1702323953
316,gangneung,37.7556,128.8961,277.46,96,100,5.68,KR,1702323953
317,astrakhan,46.3497,48.0408,267.08,67,0,11.18,RU,1702323816
318,fray luis beltran,-39.3167,-65.7667,307.87,13,23,10.12,AR,1702323953
319,tulun,54.5611,100.5792,235.44,100,26,0.31,RU,1702323954
320,ciudad guayana,8.3533,-62.6528,307.0,42,81,4.37,VE,1702323954
321,khorugh,37.4897,71.553,273.66,93,100,3.6,TJ,1702323954
322,niquero,20.0431,-77.5828,301.85,68,93,1.18,CU,1702323954
323,inirida,3.8653,-67.9239,305.44,55,90,0.72,CO,1702323954
324,safotu,-13.4513,-172.4018,300.04,90,77,3.42,WS,1702323954
325,belogradchik,43.6272,22.6836,274.89,67,100,1.92,BG,1702323731
326,tsiombe,-25.3,45.4833,297.69,92,72,1.29,MG,1702323955
327,gamay,12.3854,125.2979,298.28,92,83,2.43,PH,1702323955
328,kibakwe,-6.7167,36.3667,292.71,89,100,1.7,TZ,1702323955
329,haimen,23.1935,116.6142,293.09,85,1,1.71,CN,1702323955
330,eket,4.6412,7.9209,299.95,82,98,3.46,NG,1702323955
331,galliano,29.4422,-90.2992,288.71,31,0,3.09,US,1702323956
332,nabire,-3.3667,135.4833,297.38,95,99,1.68,ID,1702323956
333,nanlong,31.3533,106.0631,282.38,79,0,1.94,CN,1702323956
334,safi,32.1667,-8.8333,291.13,57,35,1.5,MA,1702323956
335,vorgashor,67.5833,63.95,252.43,94,100,5.06,RU,1702323956
336,hobyo,5.3505,48.5268,299.83,79,95,7.6,SO,1702323956
337,kokpekty,48.75,82.4,256.66,93,100,5.26,KZ,1702323956
338,aksu,41.1231,80.2644,270.57,61,98,0.92,CN,1702323957
339,bodaybo,57.8506,114.1933,244.85,99,100,0.4,RU,1702323957
340,klaeng,12.7797,101.6483,299.23,86,68,0.88,TH,1702323957
341,utrik,11.2278,169.8474,300.27,72,15,9.54,MH,1702323957
342,luderitz,-26.6481,15.1594,292.98,58,0,9.54,NA,1702323957
343,katima mulilo,-17.5,24.2667,296.94,53,19,2.34,NA,1702323957
344,kinchil,20.9167,-89.95,298.18,55,100,4.19,MX,1702323958
345,muroto-misakicho,33.2833,134.15,291.98,92,99,4.66,JP,1702323958
346,sungho 1-tong,38.9914,125.9778,273.53,81,100,2.68,KP,1702323958
347,winnemucca,40.973,-117.7357,277.18,48,0,1.54,US,1702323958
348,borogontsy,62.6683,131.1683,234.29,100,100,1.03,RU,1702323958
349,port lincoln,-34.7333,135.8667,290.12,82,85,2.69,AU,1702323958
350,kula,38.5473,28.6498,280.38,87,33,1.05,TR,1702323958
351,zeliezovce,48.0508,18.6542,273.41,100,92,0.89,SK,1702323959
352,ponnani,10.767,75.9252,297.77,88,93,2.27,IN,1702323959
353,pimentel,-6.8367,-79.9342,298.31,61,0,7.72,PE,1702323959
354,chernomorskoye,45.5039,32.6997,281.32,92,100,4.05,UA,1702323959
355,victoria,22.2855,114.1577,297.01,89,0,0.45,HK,1702323740
356,ixtapa,20.7,-105.2,301.72,54,75,3.09,MX,1702323959
357,guiuan,11.0333,125.7247,301.09,78,63,3.88,PH,1702323960
358,buguma,4.7341,6.8635,300.34,77,44,2.61,NG,1702323960
359,villa gesell,-37.2639,-56.973,296.51,64,100,8.61,AR,1702323724
360,murghob,38.1702,73.9667,259.5,72,18,3.35,TJ,1702323960
361,yarmouth,41.7057,-70.2286,281.23,81,100,10.73,US,1702323960
362,labuan,5.2767,115.2417,300.35,89,20,0.0,MY,1702323960
